,date,open,high,low,close,adj_close,volume,daily_change,days_after_ipo
0,2010-06-29,19.0,25.0,17.540001,23.889999,23.889999,18766300,4.8899989999999995,151
1,2010-06-30,25.790001,30.42,23.299999,23.83,23.83,17187100,-0.059999000000001246,152
2,2010-07-01,25.0,25.92,20.27,21.959999,21.959999,8218800,-1.8700009999999985,153
3,2010-07-02,23.0,23.1,18.709999,19.200001,19.200001,5139800,-2.7599979999999995,154
4,2010-07-06,20.0,20.0,15.83,16.110001,16.110001,6866900,-3.09,158
5,2010-07-07,16.4,16.629998999999998,14.98,15.8,15.8,6921700,-0.31000099999999975,159
6,2010-07-08,16.139999,17.52,15.57,17.459999,17.459999,7711400,1.6599989999999991,160
7,2010-07-09,17.58,17.9,16.549999,17.4,17.4,4050600,-0.059999000000001246,161
8,2010-07-12,17.950001,18.07,17.0,17.049999,17.049999,2202500,-0.3500009999999989,164
9,2010-07-13,17.389999,18.639999,16.9,18.139999,18.139999,2680100,1.0899999999999999,165
10,2010-07-14,17.940001000000002,20.15,17.76,19.84,19.84,4195200,1.7000010000000003,166
11,2010-07-15,19.940001000000002,21.5,19.0,19.889999,19.889999,3739800,0.04999899999999968,167
12,2010-07-16,20.700001,21.299999,20.049999,20.639999,20.639999,2621300,0.75,168
13,2010-07-19,21.370001000000002,22.25,20.92,21.91,21.91,2486500,1.2700010000000006,171
14,2010-07-20,21.85,21.85,20.049999,20.299999,20.299999,1825300,-1.6100010000000005,172
15,2010-07-21,20.66,20.9,19.5,20.219998999999998,20.219998999999998,1252500,-0.08000000000000185,173
16,2010-07-22,20.5,21.25,20.370001000000002,21.0,21.0,957800,0.7800010000000022,174
17,2010-07-23,21.190001000000002,21.559998999999998,21.059998999999998,21.290001,21.290001,653600,0.2900010000000002,175
18,2010-07-26,21.5,21.5,20.299999,20.950001,20.950001,922200,-0.33999999999999986,178
19,2010-07-27,20.91,21.18,20.26,20.549999,20.549999,619700,-0.40000200000000063,179
20,2010-07-28,20.549999,20.9,20.51,20.719998999999998,20.719998999999998,467200,0.16999999999999815,180
21,2010-07-29,20.77,20.879998999999998,20.0,20.35,20.35,616000,-0.3699989999999964,181
22,2010-07-30,20.200001,20.440001000000002,19.549999,19.940001000000002,19.940001000000002,426900,-0.4099989999999991,182
23,2010-08-02,20.5,20.969998999999998,20.33,20.92,20.92,718100,0.9799989999999994,185
24,2010-08-03,21.0,21.950001,20.82,21.950001,21.950001,1230500,1.0300009999999986,186
25,2010-08-04,21.950001,22.18,20.85,21.26,21.26,913000,-0.6900009999999988,187
